n.evals.q.1.0.	mopm._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialBf.avg.UNLIMITED.	mopm._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialBf.avg.UNLIMITED.min	mopm._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialBf.avg.UNLIMITED.max	mopm._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialBf.avg.UNLIMITED.	mopm._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialBf.avg.UNLIMITED.min	mopm._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialBf.avg.UNLIMITED.max	mopm._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialBf.avg.UNLIMITED.	mopm._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialBf.avg.UNLIMITED.min	mopm._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialBf.avg.UNLIMITED.max	mopm._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialBf.avg.UNLIMITED.	mopm._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialBf.avg.UNLIMITED.min	mopm._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialBf.avg.UNLIMITED.max	mopm._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialBf.avg.UNLIMITED.	mopm._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialBf.avg.UNLIMITED.min	mopm._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialBf.avg.UNLIMITED.max
1.000e+02	4.219e-01	3.880e-01	4.219e-01	4.219e-01	4.219e-01	4.221e-01	3.582e-01	3.202e-01	3.907e-01	3.044e-01	2.573e-01	3.390e-01	4.219e-01	4.219e-01	4.219e-01
2.000e+02	4.219e-01	4.219e-01	4.412e-01	4.219e-01	4.218e-01	4.322e-01	4.174e-01	3.876e-01	4.322e-01	3.717e-01	3.383e-01	3.800e-01	4.219e-01	4.219e-01	4.219e-01
3.000e+02	4.323e-01	4.219e-01	4.427e-01	4.231e-01	4.218e-01	4.362e-01	4.272e-01	3.964e-01	4.663e-01	3.780e-01	3.481e-01	4.015e-01	4.219e-01	4.219e-01	4.219e-01
4.000e+02	4.343e-01	4.219e-01	4.430e-01	4.326e-01	4.208e-01	4.414e-01	4.288e-01	4.036e-01	4.663e-01	3.742e-01	3.544e-01	4.032e-01	4.219e-01	4.219e-01	4.219e-01
5.000e+02	4.343e-01	4.219e-01	4.430e-01	4.356e-01	4.087e-01	4.511e-01	4.289e-01	4.163e-01	4.676e-01	4.164e-01	3.814e-01	4.414e-01	4.219e-01	4.219e-01	4.219e-01
6.000e+02	4.361e-01	4.219e-01	4.455e-01	4.363e-01	3.787e-01	4.463e-01	4.365e-01	4.140e-01	4.729e-01	4.344e-01	3.866e-01	4.610e-01	4.219e-01	4.219e-01	4.219e-01
7.000e+02	4.382e-01	4.277e-01	4.468e-01	4.384e-01	4.050e-01	4.463e-01	4.599e-01	3.925e-01	4.766e-01	4.330e-01	3.873e-01	4.689e-01	4.219e-01	4.219e-01	4.219e-01
8.000e+02	4.382e-01	4.299e-01	4.482e-01	4.326e-01	4.050e-01	4.452e-01	4.463e-01	3.879e-01	4.773e-01	4.535e-01	4.047e-01	4.703e-01	4.219e-01	4.219e-01	4.219e-01
9.000e+02	4.427e-01	4.323e-01	4.532e-01	4.384e-01	4.050e-01	4.531e-01	4.599e-01	3.879e-01	4.806e-01	4.594e-01	4.106e-01	4.741e-01	4.219e-01	4.219e-01	4.219e-01
1.000e+03	4.427e-01	4.323e-01	4.533e-01	4.384e-01	4.050e-01	4.531e-01	4.550e-01	3.879e-01	4.792e-01	4.647e-01	4.328e-01	4.769e-01	4.219e-01	4.219e-01	4.219e-01
1.100e+03	4.428e-01	4.323e-01	4.533e-01	4.427e-01	3.285e-01	4.552e-01	4.663e-01	3.879e-01	4.839e-01	4.647e-01	4.310e-01	4.741e-01	4.219e-01	4.219e-01	4.219e-01
1.200e+03	4.455e-01	4.366e-01	4.533e-01	4.452e-01	4.230e-01	4.558e-01	4.773e-01	3.879e-01	4.929e-01	4.668e-01	4.328e-01	4.850e-01	4.219e-01	4.219e-01	4.219e-01
1.300e+03	4.482e-01	4.425e-01	4.533e-01	4.452e-01	4.230e-01	4.558e-01	4.742e-01	4.134e-01	4.929e-01	4.681e-01	4.360e-01	4.872e-01	4.219e-01	4.219e-01	4.219e-01
1.400e+03	4.482e-01	4.425e-01	4.533e-01	4.471e-01	4.231e-01	4.558e-01	4.742e-01	4.073e-01	4.929e-01	4.666e-01	4.481e-01	4.884e-01	4.219e-01	4.218e-01	4.219e-01
1.500e+03	4.506e-01	4.427e-01	4.533e-01	4.531e-01	4.384e-01	4.566e-01	4.742e-01	4.069e-01	4.929e-01	4.675e-01	4.517e-01	4.884e-01	4.219e-01	4.218e-01	4.219e-01
1.600e+03	4.531e-01	4.427e-01	4.559e-01	4.531e-01	4.230e-01	4.566e-01	4.582e-01	4.069e-01	4.865e-01	4.701e-01	4.517e-01	5.011e-01	4.219e-01	4.218e-01	4.219e-01
1.700e+03	4.522e-01	4.427e-01	4.543e-01	4.531e-01	4.384e-01	4.575e-01	4.582e-01	4.069e-01	4.865e-01	4.835e-01	4.517e-01	5.011e-01	4.219e-01	4.218e-01	4.219e-01
1.800e+03	4.531e-01	4.427e-01	4.634e-01	4.531e-01	4.427e-01	4.575e-01	4.651e-01	4.069e-01	4.923e-01	4.847e-01	4.605e-01	5.021e-01	4.219e-01	4.218e-01	4.219e-01
1.900e+03	4.531e-01	4.427e-01	4.634e-01	4.531e-01	4.427e-01	4.575e-01	4.775e-01	4.069e-01	4.929e-01	4.906e-01	4.605e-01	5.055e-01	4.219e-01	4.096e-01	4.219e-01
2.000e+03	4.531e-01	4.430e-01	4.635e-01	4.533e-01	4.427e-01	4.597e-01	4.681e-01	4.187e-01	4.929e-01	4.906e-01	4.605e-01	5.074e-01	4.219e-01	4.096e-01	4.219e-01
2.100e+03	4.531e-01	4.432e-01	4.635e-01	4.535e-01	4.427e-01	4.635e-01	4.660e-01	4.187e-01	5.002e-01	4.906e-01	4.605e-01	5.092e-01	4.219e-01	3.445e-01	4.219e-01
2.200e+03	4.531e-01	4.432e-01	4.635e-01	4.535e-01	4.427e-01	4.635e-01	4.681e-01	4.187e-01	5.039e-01	4.906e-01	4.605e-01	5.096e-01	4.219e-01	3.445e-01	4.219e-01
2.300e+03	4.531e-01	4.433e-01	4.635e-01	4.531e-01	4.384e-01	4.607e-01	4.681e-01	4.187e-01	5.039e-01	4.821e-01	4.612e-01	5.146e-01	4.219e-01	3.445e-01	4.219e-01
2.400e+03	4.531e-01	4.433e-01	4.635e-01	4.552e-01	4.427e-01	4.635e-01	4.681e-01	4.187e-01	5.039e-01	4.906e-01	4.612e-01	5.154e-01	4.219e-01	3.445e-01	4.219e-01
2.500e+03	4.531e-01	4.433e-01	4.635e-01	4.552e-01	4.427e-01	4.635e-01	4.651e-01	4.207e-01	5.017e-01	4.950e-01	4.612e-01	5.154e-01	4.219e-01	3.445e-01	4.219e-01
2.600e+03	4.531e-01	4.443e-01	4.635e-01	4.552e-01	4.427e-01	4.625e-01	4.651e-01	4.207e-01	4.929e-01	4.950e-01	4.605e-01	5.154e-01	4.219e-01	3.107e-01	4.219e-01
2.700e+03	4.533e-01	4.472e-01	4.635e-01	4.552e-01	4.427e-01	4.635e-01	4.632e-01	4.207e-01	4.929e-01	4.900e-01	4.605e-01	5.154e-01	4.219e-01	3.107e-01	4.219e-01
2.800e+03	4.533e-01	4.472e-01	4.635e-01	4.531e-01	4.427e-01	4.625e-01	4.632e-01	4.207e-01	4.916e-01	4.900e-01	4.634e-01	5.154e-01	4.219e-01	3.169e-01	4.219e-01
2.900e+03	4.541e-01	4.472e-01	4.635e-01	4.531e-01	4.427e-01	4.625e-01	4.660e-01	4.207e-01	4.916e-01	4.774e-01	4.574e-01	5.154e-01	4.219e-01	3.169e-01	4.219e-01
3.000e+03	4.631e-01	4.530e-01	4.635e-01	4.531e-01	4.427e-01	4.625e-01	4.660e-01	4.187e-01	4.916e-01	4.774e-01	4.584e-01	5.154e-01	4.219e-01	3.169e-01	4.219e-01
3.100e+03	4.631e-01	4.530e-01	4.635e-01	4.531e-01	4.427e-01	4.635e-01	4.660e-01	4.187e-01	4.916e-01	4.809e-01	4.605e-01	5.154e-01	4.219e-01	3.107e-01	4.219e-01
3.200e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	4.427e-01	4.635e-01	4.642e-01	4.187e-01	4.916e-01	4.862e-01	4.605e-01	5.125e-01	4.219e-01	1.948e-01	4.219e-01
3.300e+03	4.631e-01	4.531e-01	4.635e-01	4.552e-01	4.427e-01	4.635e-01	4.660e-01	4.187e-01	4.916e-01	4.976e-01	4.605e-01	5.154e-01	4.219e-01	1.948e-01	4.219e-01
3.400e+03	4.631e-01	4.531e-01	4.635e-01	4.552e-01	4.427e-01	4.635e-01	4.660e-01	4.187e-01	4.916e-01	4.862e-01	4.605e-01	5.154e-01	4.219e-01	1.948e-01	4.219e-01
3.500e+03	4.631e-01	4.531e-01	4.635e-01	4.555e-01	4.427e-01	4.635e-01	4.645e-01	4.187e-01	4.916e-01	4.862e-01	4.605e-01	5.141e-01	4.219e-01	1.948e-01	4.219e-01
3.600e+03	4.632e-01	4.531e-01	4.635e-01	4.574e-01	4.432e-01	4.635e-01	4.660e-01	4.174e-01	4.916e-01	4.862e-01	4.605e-01	5.141e-01	4.212e-01	1.802e-01	4.219e-01
3.700e+03	4.632e-01	4.531e-01	4.635e-01	4.555e-01	4.432e-01	4.635e-01	4.660e-01	4.174e-01	4.916e-01	4.862e-01	4.605e-01	5.154e-01	4.212e-01	1.802e-01	4.219e-01
3.800e+03	4.635e-01	4.531e-01	4.635e-01	4.555e-01	4.432e-01	4.635e-01	4.660e-01	4.187e-01	4.916e-01	4.863e-01	4.621e-01	5.154e-01	4.219e-01	1.802e-01	4.219e-01
3.900e+03	4.635e-01	4.531e-01	4.635e-01	4.552e-01	4.427e-01	4.632e-01	4.660e-01	4.187e-01	4.929e-01	4.889e-01	4.687e-01	5.154e-01	4.212e-01	1.411e-01	4.219e-01
4.000e+03	4.635e-01	4.531e-01	4.635e-01	4.552e-01	4.427e-01	4.632e-01	4.737e-01	4.187e-01	4.945e-01	4.933e-01	4.621e-01	5.170e-01	4.212e-01	1.411e-01	4.219e-01
4.100e+03	4.635e-01	4.531e-01	4.635e-01	4.552e-01	4.427e-01	4.625e-01	4.737e-01	4.187e-01	4.945e-01	4.952e-01	4.605e-01	5.154e-01	4.212e-01	1.245e-01	4.219e-01
4.200e+03	4.635e-01	4.531e-01	4.635e-01	4.533e-01	4.427e-01	4.625e-01	4.737e-01	4.187e-01	4.945e-01	4.974e-01	4.687e-01	5.170e-01	4.219e-01	1.297e-01	4.219e-01
4.300e+03	4.635e-01	4.531e-01	4.635e-01	4.533e-01	4.427e-01	4.625e-01	4.737e-01	4.207e-01	4.945e-01	4.974e-01	4.687e-01	5.170e-01	4.212e-01	1.293e-01	4.219e-01
4.400e+03	4.635e-01	4.531e-01	4.635e-01	4.533e-01	4.427e-01	4.625e-01	4.737e-01	4.207e-01	4.945e-01	4.974e-01	4.687e-01	5.170e-01	4.212e-01	1.155e-01	4.219e-01
4.500e+03	4.635e-01	4.531e-01	4.635e-01	4.533e-01	3.923e-01	4.625e-01	4.803e-01	4.207e-01	5.020e-01	4.974e-01	4.687e-01	5.170e-01	4.212e-01	1.150e-01	4.219e-01
4.600e+03	4.635e-01	4.531e-01	4.635e-01	4.552e-01	3.923e-01	4.635e-01	4.803e-01	4.207e-01	5.020e-01	5.004e-01	4.687e-01	5.170e-01	4.212e-01	1.150e-01	4.219e-01
4.700e+03	4.635e-01	4.531e-01	4.635e-01	4.533e-01	3.923e-01	4.635e-01	4.803e-01	4.207e-01	5.020e-01	5.000e-01	4.687e-01	5.260e-01	4.212e-01	1.150e-01	4.219e-01
4.800e+03	4.635e-01	4.531e-01	4.635e-01	4.552e-01	4.432e-01	4.635e-01	4.790e-01	4.207e-01	5.020e-01	5.004e-01	4.744e-01	5.170e-01	4.212e-01	1.150e-01	4.219e-01
4.900e+03	4.635e-01	4.531e-01	4.635e-01	4.532e-01	4.427e-01	4.618e-01	4.790e-01	4.207e-01	5.025e-01	5.004e-01	4.813e-01	5.337e-01	4.212e-01	1.150e-01	4.219e-01
5.000e+03	4.635e-01	4.531e-01	4.635e-01	4.532e-01	4.427e-01	4.635e-01	4.790e-01	4.207e-01	5.025e-01	5.059e-01	4.813e-01	5.343e-01	4.212e-01	1.118e-01	4.219e-01
5.100e+03	4.635e-01	4.531e-01	4.635e-01	4.532e-01	4.427e-01	4.618e-01	4.790e-01	4.207e-01	5.025e-01	5.059e-01	4.866e-01	5.337e-01	4.212e-01	1.118e-01	4.219e-01
5.200e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	4.427e-01	4.616e-01	4.737e-01	4.207e-01	5.025e-01	5.059e-01	4.866e-01	5.337e-01	4.212e-01	1.150e-01	4.219e-01
5.300e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	4.427e-01	4.618e-01	4.737e-01	4.207e-01	5.025e-01	5.036e-01	4.885e-01	5.337e-01	4.212e-01	1.150e-01	4.219e-01
5.400e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	4.427e-01	4.618e-01	4.790e-01	4.207e-01	5.025e-01	5.055e-01	4.933e-01	5.337e-01	4.212e-01	1.150e-01	4.219e-01
5.500e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	4.427e-01	4.618e-01	4.790e-01	4.201e-01	5.025e-01	5.063e-01	4.957e-01	5.367e-01	4.096e-01	1.198e-01	4.219e-01
5.600e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	4.427e-01	4.618e-01	4.790e-01	4.201e-01	5.025e-01	5.063e-01	4.940e-01	5.382e-01	4.096e-01	1.249e-01	4.219e-01
5.700e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	4.427e-01	4.618e-01	4.790e-01	4.201e-01	5.043e-01	5.063e-01	4.936e-01	5.367e-01	4.096e-01	1.249e-01	4.219e-01
5.800e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	4.427e-01	4.618e-01	4.790e-01	4.187e-01	5.043e-01	5.063e-01	4.936e-01	5.391e-01	4.096e-01	1.118e-01	4.219e-01
5.900e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	4.427e-01	4.618e-01	4.757e-01	4.187e-01	5.025e-01	5.063e-01	4.940e-01	5.391e-01	4.096e-01	1.118e-01	4.219e-01
6.000e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	4.427e-01	4.635e-01	4.757e-01	4.187e-01	5.043e-01	5.105e-01	4.957e-01	5.391e-01	4.096e-01	1.118e-01	4.219e-01
6.100e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	4.427e-01	4.635e-01	4.737e-01	4.201e-01	5.043e-01	5.106e-01	4.957e-01	5.376e-01	4.096e-01	1.118e-01	4.219e-01
6.200e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	4.427e-01	4.635e-01	4.757e-01	4.201e-01	5.043e-01	5.151e-01	4.940e-01	5.376e-01	4.096e-01	1.118e-01	4.219e-01
6.300e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.051e-01	4.632e-01	4.757e-01	4.201e-01	5.043e-01	5.151e-01	4.940e-01	5.346e-01	4.096e-01	1.118e-01	4.219e-01
6.400e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.051e-01	4.632e-01	4.757e-01	4.201e-01	5.043e-01	5.151e-01	4.936e-01	5.379e-01	4.096e-01	1.118e-01	4.219e-01
6.500e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	4.427e-01	4.632e-01	4.757e-01	4.201e-01	5.043e-01	5.106e-01	4.936e-01	5.346e-01	4.096e-01	1.098e-01	4.219e-01
6.600e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	4.427e-01	4.632e-01	4.757e-01	4.379e-01	5.043e-01	5.100e-01	4.969e-01	5.337e-01	4.096e-01	1.098e-01	4.219e-01
6.700e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	4.427e-01	4.632e-01	4.757e-01	4.379e-01	5.043e-01	5.063e-01	4.936e-01	5.360e-01	4.096e-01	1.098e-01	4.219e-01
6.800e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.051e-01	4.632e-01	4.790e-01	4.379e-01	5.048e-01	5.063e-01	4.936e-01	5.299e-01	4.096e-01	1.098e-01	4.219e-01
6.900e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	2.891e-01	4.632e-01	4.790e-01	4.379e-01	5.043e-01	5.100e-01	4.936e-01	5.308e-01	4.016e-01	1.098e-01	4.219e-01
7.000e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	2.891e-01	4.632e-01	4.790e-01	4.379e-01	5.043e-01	5.100e-01	4.936e-01	5.299e-01	4.016e-01	1.118e-01	4.219e-01
7.100e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.051e-01	4.632e-01	4.790e-01	4.379e-01	5.043e-01	5.100e-01	4.895e-01	5.299e-01	4.016e-01	1.118e-01	4.219e-01
7.200e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.180e-01	4.632e-01	4.803e-01	4.498e-01	5.043e-01	5.106e-01	4.895e-01	5.299e-01	4.016e-01	1.098e-01	4.219e-01
7.300e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.180e-01	4.616e-01	4.796e-01	4.379e-01	5.048e-01	5.143e-01	4.895e-01	5.308e-01	4.096e-01	1.079e-01	4.219e-01
7.400e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.180e-01	4.616e-01	4.796e-01	4.379e-01	5.048e-01	5.143e-01	4.900e-01	5.308e-01	4.096e-01	9.619e-02	4.219e-01
7.500e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.051e-01	4.616e-01	4.796e-01	4.379e-01	5.048e-01	5.126e-01	4.895e-01	5.308e-01	4.096e-01	9.619e-02	4.219e-01
7.600e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.051e-01	4.616e-01	4.806e-01	4.379e-01	5.048e-01	5.126e-01	4.895e-01	5.313e-01	4.096e-01	9.619e-02	4.219e-01
7.700e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.051e-01	4.616e-01	4.806e-01	4.379e-01	5.048e-01	5.126e-01	4.895e-01	5.422e-01	4.096e-01	9.619e-02	4.219e-01
7.800e+03	4.635e-01	4.531e-01	4.635e-01	4.518e-01	3.051e-01	4.616e-01	4.806e-01	4.379e-01	5.048e-01	5.151e-01	4.900e-01	5.428e-01	4.096e-01	9.619e-02	4.219e-01
7.900e+03	4.635e-01	4.531e-01	4.635e-01	4.518e-01	3.051e-01	4.616e-01	4.806e-01	4.498e-01	5.048e-01	5.179e-01	4.900e-01	5.428e-01	4.016e-01	7.769e-02	4.219e-01
8.000e+03	4.635e-01	4.531e-01	4.635e-01	4.518e-01	3.051e-01	4.616e-01	4.806e-01	4.498e-01	5.048e-01	5.187e-01	4.900e-01	5.428e-01	4.016e-01	7.769e-02	4.219e-01
8.100e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	2.891e-01	4.632e-01	4.806e-01	4.498e-01	5.048e-01	5.187e-01	4.936e-01	5.428e-01	4.016e-01	7.769e-02	4.219e-01
8.200e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	2.891e-01	4.632e-01	4.806e-01	4.498e-01	5.048e-01	5.191e-01	4.936e-01	5.428e-01	4.016e-01	8.092e-02	4.219e-01
8.300e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.051e-01	4.632e-01	4.806e-01	4.498e-01	5.048e-01	5.217e-01	4.936e-01	5.422e-01	4.016e-01	8.092e-02	4.219e-01
8.400e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.051e-01	4.632e-01	4.806e-01	4.498e-01	5.048e-01	5.217e-01	4.936e-01	5.422e-01	4.016e-01	8.092e-02	4.219e-01
8.500e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.051e-01	4.632e-01	4.806e-01	4.498e-01	5.048e-01	5.222e-01	4.881e-01	5.422e-01	4.016e-01	8.092e-02	4.219e-01
8.600e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.051e-01	4.632e-01	4.806e-01	4.498e-01	5.048e-01	5.222e-01	4.881e-01	5.428e-01	4.016e-01	8.092e-02	4.219e-01
8.700e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.051e-01	4.632e-01	4.806e-01	4.498e-01	5.048e-01	5.191e-01	4.877e-01	5.428e-01	4.016e-01	8.259e-02	4.219e-01
8.800e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.051e-01	4.632e-01	4.806e-01	4.498e-01	5.048e-01	5.191e-01	4.881e-01	5.428e-01	4.016e-01	8.259e-02	4.219e-01
8.900e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.051e-01	4.632e-01	4.806e-01	4.498e-01	5.048e-01	5.187e-01	4.881e-01	5.428e-01	3.107e-01	8.092e-02	4.219e-01
9.000e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.051e-01	4.632e-01	4.806e-01	4.498e-01	5.048e-01	5.187e-01	4.881e-01	5.428e-01	3.107e-01	8.092e-02	4.219e-01
9.100e+03	4.635e-01	4.531e-01	4.635e-01	4.531e-01	3.051e-01	4.632e-01	4.806e-01	4.498e-01	5.048e-01	5.187e-01	4.930e-01	5.428e-01	2.631e-01	8.092e-02	4.219e-01
