n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.inconsistency	xor._.me.hebbian.network.best.quality.inconsistency.min	xor._.me.hebbian.network.best.quality.inconsistency.max	xor._.me.hebbian.layer.best.quality.inconsistency	xor._.me.hebbian.layer.best.quality.inconsistency.min	xor._.me.hebbian.layer.best.quality.inconsistency.max	xor._.me.hebbian.neuron.best.quality.inconsistency	xor._.me.hebbian.neuron.best.quality.inconsistency.min	xor._.me.hebbian.neuron.best.quality.inconsistency.max	xor._.me.hebbian.synapse.best.quality.inconsistency	xor._.me.hebbian.synapse.best.quality.inconsistency.min	xor._.me.hebbian.synapse.best.quality.inconsistency.max	xor._.me.freeForm.best.quality.inconsistency	xor._.me.freeForm.best.quality.inconsistency.min	xor._.me.freeForm.best.quality.inconsistency.max
1.000e+02	6.461e-01	5.379e-01	8.522e-01	8.204e-01	6.034e-01	8.657e-01	5.731e-01	2.674e-01	8.014e-01	6.931e-01	4.271e-01	7.569e-01	8.660e-01	8.352e-01	8.660e-01
2.000e+02	5.688e-01	4.464e-01	6.747e-01	8.101e-01	6.205e-01	8.600e-01	2.223e-01	1.223e-01	2.856e-01	4.487e-01	2.585e-01	7.302e-01	8.660e-01	8.346e-01	8.660e-01
3.000e+02	5.464e-01	4.416e-01	6.619e-01	6.241e-01	4.456e-01	8.204e-01	2.253e-01	1.109e-01	3.078e-01	4.110e-01	1.611e-01	5.004e-01	8.660e-01	7.599e-01	8.660e-01
4.000e+02	5.379e-01	4.416e-01	6.592e-01	5.925e-01	4.406e-01	8.170e-01	2.646e-01	1.872e-01	3.262e-01	4.104e-01	1.805e-01	4.603e-01	8.660e-01	7.599e-01	8.660e-01
5.000e+02	5.379e-01	4.416e-01	6.461e-01	5.925e-01	4.339e-01	8.116e-01	2.660e-01	1.940e-01	3.275e-01	3.414e-01	1.805e-01	4.416e-01	8.639e-01	7.599e-01	8.660e-01
6.000e+02	5.379e-01	4.416e-01	6.461e-01	5.262e-01	4.004e-01	8.101e-01	3.060e-01	2.163e-01	3.275e-01	2.900e-01	1.964e-01	4.104e-01	8.352e-01	7.599e-01	8.660e-01
7.000e+02	5.379e-01	4.416e-01	6.461e-01	5.262e-01	3.737e-01	8.101e-01	3.060e-01	2.163e-01	3.275e-01	2.900e-01	2.058e-01	4.053e-01	8.352e-01	7.599e-01	8.660e-01
8.000e+02	5.379e-01	4.416e-01	6.461e-01	4.978e-01	3.681e-01	6.391e-01	2.661e-01	1.956e-01	3.262e-01	2.976e-01	2.058e-01	4.053e-01	8.352e-01	7.599e-01	8.660e-01
9.000e+02	5.379e-01	4.416e-01	6.461e-01	4.584e-01	3.681e-01	6.195e-01	2.661e-01	2.033e-01	3.179e-01	3.034e-01	2.581e-01	4.053e-01	8.347e-01	7.599e-01	8.660e-01
1.000e+03	5.379e-01	4.416e-01	6.461e-01	4.456e-01	3.515e-01	5.925e-01	2.253e-01	1.909e-01	2.860e-01	3.126e-01	2.668e-01	3.958e-01	8.346e-01	7.599e-01	8.660e-01
1.100e+03	5.379e-01	4.416e-01	6.461e-01	4.456e-01	3.681e-01	5.925e-01	2.253e-01	1.909e-01	2.860e-01	3.066e-01	2.668e-01	3.797e-01	8.239e-01	7.599e-01	8.639e-01
1.200e+03	5.379e-01	4.416e-01	6.461e-01	4.443e-01	3.515e-01	5.486e-01	2.336e-01	1.950e-01	2.860e-01	3.034e-01	2.605e-01	3.893e-01	8.132e-01	7.599e-01	8.639e-01
1.300e+03	5.379e-01	4.416e-01	6.461e-01	4.443e-01	3.515e-01	5.486e-01	2.336e-01	1.950e-01	3.060e-01	3.034e-01	2.594e-01	3.893e-01	8.000e-01	7.141e-01	8.639e-01
1.400e+03	5.379e-01	4.416e-01	6.461e-01	4.424e-01	2.824e-01	5.486e-01	2.336e-01	1.950e-01	3.060e-01	3.011e-01	2.252e-01	3.732e-01	8.000e-01	7.141e-01	8.352e-01
1.500e+03	5.379e-01	4.416e-01	6.461e-01	4.394e-01	2.249e-01	5.262e-01	2.336e-01	1.950e-01	2.860e-01	3.011e-01	2.475e-01	3.732e-01	8.000e-01	7.141e-01	8.352e-01
1.600e+03	5.379e-01	4.416e-01	6.461e-01	4.394e-01	2.226e-01	5.262e-01	2.336e-01	1.950e-01	2.860e-01	3.011e-01	2.475e-01	3.732e-01	8.000e-01	7.141e-01	8.352e-01
1.700e+03	5.379e-01	4.416e-01	6.461e-01	4.171e-01	2.226e-01	5.141e-01	2.564e-01	1.950e-01	2.786e-01	2.919e-01	2.304e-01	3.400e-01	7.599e-01	4.926e-01	8.352e-01
1.800e+03	5.379e-01	4.416e-01	6.461e-01	4.171e-01	2.148e-01	5.141e-01	2.564e-01	1.950e-01	2.786e-01	2.919e-01	2.266e-01	3.626e-01	7.599e-01	4.926e-01	8.352e-01
1.900e+03	5.379e-01	4.416e-01	6.461e-01	4.151e-01	2.148e-01	4.978e-01	2.564e-01	1.950e-01	2.786e-01	2.919e-01	2.266e-01	3.626e-01	7.599e-01	4.926e-01	8.352e-01
2.000e+03	5.379e-01	4.416e-01	6.461e-01	4.151e-01	2.148e-01	4.978e-01	2.336e-01	1.909e-01	2.743e-01	3.011e-01	2.304e-01	3.626e-01	7.599e-01	4.369e-01	8.351e-01
2.100e+03	5.379e-01	4.416e-01	6.461e-01	4.171e-01	2.148e-01	4.978e-01	2.295e-01	1.909e-01	2.743e-01	3.020e-01	2.475e-01	3.626e-01	7.599e-01	4.359e-01	8.001e-01
2.200e+03	5.379e-01	4.416e-01	6.461e-01	4.171e-01	2.148e-01	4.978e-01	2.295e-01	1.909e-01	2.743e-01	3.020e-01	2.304e-01	3.638e-01	7.599e-01	4.309e-01	8.000e-01
2.300e+03	5.379e-01	4.416e-01	6.461e-01	4.171e-01	2.226e-01	4.978e-01	2.295e-01	1.909e-01	2.743e-01	3.011e-01	2.266e-01	3.626e-01	7.599e-01	4.309e-01	8.000e-01
2.400e+03	5.379e-01	4.416e-01	6.461e-01	4.004e-01	2.226e-01	4.978e-01	2.295e-01	1.909e-01	2.743e-01	3.011e-01	2.266e-01	3.626e-01	7.599e-01	3.761e-01	8.000e-01
2.500e+03	5.379e-01	4.416e-01	6.461e-01	4.004e-01	2.226e-01	4.978e-01	2.295e-01	1.909e-01	2.743e-01	3.011e-01	2.266e-01	3.419e-01	7.599e-01	3.761e-01	8.000e-01
2.600e+03	5.379e-01	4.416e-01	6.461e-01	4.171e-01	2.249e-01	4.978e-01	2.253e-01	1.898e-01	2.661e-01	3.011e-01	2.304e-01	3.419e-01	7.599e-01	3.761e-01	8.000e-01
2.700e+03	5.379e-01	4.416e-01	6.461e-01	4.171e-01	2.585e-01	4.978e-01	2.253e-01	1.872e-01	2.661e-01	3.011e-01	2.304e-01	3.419e-01	7.591e-01	3.761e-01	8.000e-01
2.800e+03	5.379e-01	4.416e-01	6.461e-01	4.076e-01	2.585e-01	4.978e-01	2.253e-01	1.872e-01	2.661e-01	3.011e-01	2.304e-01	3.419e-01	7.591e-01	3.194e-01	8.000e-01
2.900e+03	5.379e-01	4.416e-01	6.461e-01	4.076e-01	2.585e-01	4.978e-01	2.253e-01	1.872e-01	2.661e-01	3.006e-01	2.304e-01	3.234e-01	7.591e-01	3.194e-01	8.000e-01
3.000e+03	5.379e-01	4.416e-01	6.461e-01	4.004e-01	2.249e-01	4.584e-01	2.253e-01	1.898e-01	2.661e-01	3.006e-01	2.304e-01	3.234e-01	7.591e-01	3.194e-01	8.000e-01
3.100e+03	5.379e-01	4.416e-01	6.461e-01	4.004e-01	2.249e-01	4.584e-01	2.253e-01	1.898e-01	2.661e-01	2.867e-01	2.304e-01	3.626e-01	7.591e-01	3.194e-01	8.000e-01
3.200e+03	5.379e-01	4.416e-01	6.461e-01	4.004e-01	2.249e-01	4.584e-01	2.253e-01	1.898e-01	2.661e-01	2.867e-01	2.304e-01	3.626e-01	7.141e-01	3.090e-01	8.000e-01
3.300e+03	5.379e-01	4.416e-01	6.461e-01	4.004e-01	2.249e-01	4.584e-01	2.253e-01	1.898e-01	2.661e-01	2.819e-01	2.266e-01	3.626e-01	7.141e-01	3.090e-01	8.000e-01
3.400e+03	5.379e-01	4.416e-01	6.461e-01	4.004e-01	2.249e-01	4.584e-01	2.253e-01	1.898e-01	2.661e-01	2.819e-01	2.266e-01	3.626e-01	7.141e-01	3.090e-01	8.000e-01
3.500e+03	5.379e-01	4.416e-01	6.461e-01	4.076e-01	2.249e-01	4.584e-01	2.253e-01	1.898e-01	2.661e-01	2.819e-01	2.266e-01	3.626e-01	7.141e-01	3.090e-01	8.000e-01
3.600e+03	5.379e-01	4.416e-01	6.461e-01	4.069e-01	2.249e-01	4.456e-01	2.253e-01	1.898e-01	2.661e-01	3.011e-01	2.393e-01	3.626e-01	7.141e-01	3.090e-01	8.000e-01
3.700e+03	5.379e-01	4.416e-01	6.461e-01	4.069e-01	2.249e-01	4.456e-01	2.253e-01	1.898e-01	2.661e-01	3.011e-01	2.393e-01	3.626e-01	7.141e-01	3.090e-01	8.000e-01
3.800e+03	5.379e-01	4.416e-01	6.461e-01	4.069e-01	2.148e-01	4.456e-01	2.163e-01	1.872e-01	2.660e-01	3.011e-01	2.393e-01	3.626e-01	7.141e-01	2.492e-01	8.000e-01
3.900e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.856e-01	4.443e-01	2.163e-01	1.872e-01	2.660e-01	3.011e-01	2.393e-01	3.626e-01	6.614e-01	1.933e-01	8.000e-01
4.000e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.856e-01	4.443e-01	2.163e-01	1.872e-01	2.660e-01	3.011e-01	2.393e-01	3.626e-01	6.614e-01	1.933e-01	8.000e-01
4.100e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.856e-01	4.443e-01	2.163e-01	1.872e-01	2.660e-01	3.011e-01	2.393e-01	3.626e-01	6.614e-01	7.498e-02	7.784e-01
4.200e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.856e-01	4.443e-01	2.163e-01	1.872e-01	2.660e-01	3.011e-01	2.393e-01	3.626e-01	6.614e-01	1.883e-01	7.784e-01
4.300e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.856e-01	4.432e-01	2.163e-01	1.863e-01	2.660e-01	3.011e-01	2.393e-01	3.626e-01	6.614e-01	1.883e-01	7.784e-01
4.400e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.856e-01	4.432e-01	2.163e-01	1.863e-01	2.660e-01	3.011e-01	2.393e-01	3.626e-01	6.614e-01	1.883e-01	7.784e-01
4.500e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.856e-01	4.432e-01	2.163e-01	1.863e-01	2.660e-01	3.011e-01	2.393e-01	3.626e-01	6.614e-01	1.883e-01	7.784e-01
4.600e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.856e-01	4.432e-01	2.163e-01	1.863e-01	2.660e-01	3.011e-01	2.393e-01	3.626e-01	6.614e-01	1.883e-01	7.784e-01
4.700e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.828e-01	4.432e-01	2.163e-01	1.863e-01	2.660e-01	3.011e-01	2.393e-01	3.626e-01	6.614e-01	1.933e-01	7.784e-01
4.800e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.828e-01	4.432e-01	2.163e-01	1.863e-01	2.660e-01	3.023e-01	2.393e-01	3.626e-01	6.614e-01	1.883e-01	7.784e-01
4.900e+03	5.379e-01	4.416e-01	6.461e-01	3.287e-01	1.571e-01	4.394e-01	2.163e-01	1.863e-01	2.660e-01	3.011e-01	2.393e-01	3.626e-01	6.614e-01	1.933e-01	7.784e-01
5.000e+03	5.379e-01	4.416e-01	6.461e-01	3.287e-01	1.571e-01	4.394e-01	2.163e-01	1.854e-01	2.660e-01	3.011e-01	2.393e-01	3.626e-01	4.926e-01	7.498e-02	7.599e-01
5.100e+03	5.379e-01	4.416e-01	6.461e-01	3.287e-01	1.571e-01	4.394e-01	2.163e-01	1.854e-01	2.660e-01	3.011e-01	2.393e-01	3.626e-01	4.309e-01	7.498e-02	7.599e-01
5.200e+03	5.379e-01	4.416e-01	6.461e-01	3.287e-01	1.571e-01	4.394e-01	2.163e-01	1.854e-01	2.660e-01	3.011e-01	2.393e-01	3.626e-01	4.309e-01	7.498e-02	7.599e-01
5.300e+03	5.379e-01	4.416e-01	6.461e-01	3.636e-01	1.453e-01	4.394e-01	2.163e-01	1.854e-01	2.660e-01	3.011e-01	2.393e-01	3.626e-01	4.309e-01	7.498e-02	7.599e-01
5.400e+03	5.379e-01	4.416e-01	6.461e-01	3.636e-01	1.453e-01	4.394e-01	2.163e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	7.498e-02	7.599e-01
5.500e+03	5.379e-01	4.416e-01	6.461e-01	3.636e-01	1.453e-01	4.394e-01	2.163e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	7.498e-02	7.599e-01
5.600e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.453e-01	4.394e-01	2.163e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	7.498e-02	7.599e-01
5.700e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.453e-01	4.394e-01	2.163e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.933e-01	7.599e-01
5.800e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.453e-01	4.394e-01	2.163e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.933e-01	7.599e-01
5.900e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.453e-01	4.394e-01	2.163e-01	1.854e-01	2.660e-01	2.922e-01	2.359e-01	3.626e-01	4.309e-01	1.933e-01	7.599e-01
6.000e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.453e-01	4.394e-01	2.163e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.933e-01	7.599e-01
6.100e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.453e-01	4.406e-01	2.163e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.873e-01	7.599e-01
6.200e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.271e-01	4.406e-01	2.163e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.873e-01	7.599e-01
6.300e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.163e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.873e-01	7.599e-01
6.400e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.163e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.873e-01	7.599e-01
6.500e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.163e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.873e-01	7.599e-01
6.600e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.163e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.873e-01	7.599e-01
6.700e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.163e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.873e-01	7.599e-01
6.800e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.163e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.873e-01	7.599e-01
6.900e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.163e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.873e-01	7.599e-01
7.000e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.163e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.873e-01	7.599e-01
7.100e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.033e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.873e-01	7.599e-01
7.200e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.033e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.873e-01	7.276e-01
7.300e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.033e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.933e-01	7.276e-01
7.400e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.033e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.933e-01	7.276e-01
7.500e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.033e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.933e-01	7.276e-01
7.600e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.033e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	4.309e-01	1.933e-01	7.141e-01
7.700e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.033e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	3.761e-01	1.873e-01	7.141e-01
7.800e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.033e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	3.761e-01	1.873e-01	7.141e-01
7.900e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.033e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	3.761e-01	1.873e-01	7.141e-01
8.000e+03	5.379e-01	4.416e-01	6.461e-01	3.681e-01	1.194e-01	4.406e-01	2.033e-01	1.854e-01	2.660e-01	2.964e-01	2.359e-01	3.626e-01	3.761e-01	1.873e-01	7.141e-01
