n.evals.q.1.0.	train._.me.hebbian.synapse.best.quality.increase	train._.me.hebbian.synapse.best.quality.increase.min	train._.me.hebbian.synapse.best.quality.increase.max	train._.me.freeForm.best.quality.increase	train._.me.freeForm.best.quality.increase.min	train._.me.freeForm.best.quality.increase.max
1.000e+02	5.621e+00	3.434e+00	1.335e+01	1.327e-06	0.000e+00	5.101e-06
2.000e+02	7.165e+01	2.700e+01	8.847e+01	2.094e-03	0.000e+00	3.944e-02
3.000e+02	8.461e+01	6.993e+01	8.994e+01	1.604e-03	0.000e+00	5.228e-02
4.000e+02	8.994e+01	8.461e+01	9.519e+01	5.228e-02	5.101e-06	2.778e-01
5.000e+02	9.063e+01	8.509e+01	1.034e+02	9.002e-02	8.459e-03	3.047e-01
6.000e+02	9.063e+01	8.509e+01	1.034e+02	5.161e-02	1.327e-06	3.855e-01
7.000e+02	8.994e+01	6.993e+01	1.034e+02	5.161e-02	0.000e+00	3.855e-01
8.000e+02	9.063e+01	7.997e+01	1.264e+02	5.161e-02	1.327e-06	5.622e-01
9.000e+02	1.094e+02	7.997e+01	1.859e+02	2.927e-02	0.000e+00	5.364e-01
1.000e+03	1.644e+02	8.847e+01	1.862e+02	5.161e-02	0.000e+00	5.364e-01
1.100e+03	1.797e+02	8.847e+01	1.862e+02	2.837e-01	3.097e-03	8.385e-01
1.200e+03	1.862e+02	1.250e+02	2.019e+02	5.364e-01	3.097e-03	2.228e+00
1.300e+03	1.862e+02	1.259e+02	2.019e+02	5.364e-01	4.011e-02	2.460e+00
1.400e+03	1.862e+02	1.259e+02	2.019e+02	7.930e-01	5.161e-02	2.460e+00
1.500e+03	1.862e+02	1.674e+02	2.019e+02	5.364e-01	5.161e-02	2.950e+00
1.600e+03	1.905e+02	1.728e+02	2.051e+02	5.364e-01	5.161e-02	4.626e+00
1.700e+03	2.019e+02	1.851e+02	2.384e+02	5.364e-01	5.161e-02	3.038e+00
1.800e+03	2.019e+02	1.851e+02	2.384e+02	5.364e-01	5.161e-02	6.868e+00
1.900e+03	2.019e+02	1.851e+02	2.384e+02	5.364e-01	5.161e-02	6.868e+00
2.000e+03	2.019e+02	1.851e+02	2.384e+02	5.364e-01	5.161e-02	6.868e+00
2.100e+03	2.019e+02	1.859e+02	2.384e+02	8.129e-01	5.161e-02	6.868e+00
2.200e+03	2.019e+02	1.859e+02	2.384e+02	8.129e-01	5.161e-02	6.868e+00
2.300e+03	2.019e+02	1.859e+02	2.384e+02	6.315e-01	5.161e-02	6.868e+00
2.400e+03	2.019e+02	1.859e+02	2.384e+02	6.315e-01	5.161e-02	6.868e+00
2.500e+03	2.051e+02	1.905e+02	2.384e+02	7.941e-01	5.161e-02	6.868e+00
2.600e+03	2.051e+02	1.905e+02	2.384e+02	7.941e-01	5.161e-02	6.868e+00
2.700e+03	2.267e+02	1.933e+02	2.716e+02	7.941e-01	5.161e-02	6.868e+00
2.800e+03	2.267e+02	1.933e+02	2.716e+02	1.259e+00	1.469e-01	9.650e+00
2.900e+03	2.267e+02	1.933e+02	2.716e+02	1.259e+00	1.469e-01	9.650e+00
3.000e+03	2.267e+02	1.933e+02	2.716e+02	1.259e+00	1.469e-01	9.650e+00
3.100e+03	2.267e+02	1.933e+02	2.716e+02	6.868e+00	5.161e-02	9.650e+00
3.200e+03	2.267e+02	1.933e+02	2.716e+02	6.868e+00	8.159e-01	9.650e+00
3.300e+03	2.303e+02	1.933e+02	2.716e+02	6.997e+00	8.159e-01	1.526e+01
3.400e+03	2.384e+02	2.019e+02	2.716e+02	1.453e+01	7.419e-01	2.608e+01
3.500e+03	2.384e+02	2.019e+02	2.716e+02	1.453e+01	7.419e-01	2.608e+01
3.600e+03	2.384e+02	2.019e+02	2.716e+02	1.453e+01	7.419e-01	2.608e+01
3.700e+03	2.384e+02	2.019e+02	2.716e+02	1.453e+01	7.571e-01	2.608e+01
3.800e+03	2.384e+02	2.019e+02	2.716e+02	7.119e+00	7.476e-01	1.526e+01
3.900e+03	2.384e+02	2.019e+02	2.716e+02	7.119e+00	7.476e-01	1.526e+01
4.000e+03	2.500e+02	2.267e+02	2.716e+02	7.119e+00	7.476e-01	1.526e+01
4.100e+03	2.500e+02	2.267e+02	2.716e+02	1.526e+01	3.870e+00	2.608e+01
4.200e+03	2.500e+02	2.267e+02	2.716e+02	1.526e+01	3.870e+00	2.608e+01
4.300e+03	2.500e+02	2.267e+02	2.716e+02	2.111e+01	7.119e+00	4.210e+01
4.400e+03	2.500e+02	2.267e+02	2.716e+02	2.111e+01	7.476e-01	4.752e+01
4.500e+03	2.500e+02	2.267e+02	2.716e+02	4.210e+01	7.476e-01	5.427e+01
4.600e+03	2.500e+02	2.267e+02	2.716e+02	4.210e+01	7.119e+00	5.427e+01
4.700e+03	2.500e+02	2.303e+02	2.716e+02	4.210e+01	7.119e+00	5.427e+01
4.800e+03	2.500e+02	2.303e+02	2.716e+02	4.210e+01	7.119e+00	5.427e+01
4.900e+03	2.566e+02	2.397e+02	2.802e+02	4.210e+01	7.119e+00	5.427e+01
5.000e+03	2.716e+02	2.433e+02	2.828e+02	4.210e+01	7.119e+00	5.427e+01
5.100e+03	2.802e+02	2.500e+02	3.691e+02	4.210e+01	7.119e+00	5.427e+01
5.200e+03	2.802e+02	2.500e+02	3.691e+02	4.210e+01	8.355e+00	5.427e+01
5.300e+03	2.802e+02	2.566e+02	3.691e+02	4.210e+01	8.355e+00	5.764e+01
5.400e+03	2.802e+02	2.566e+02	3.691e+02	2.945e+01	1.503e+00	5.427e+01
5.500e+03	2.802e+02	2.566e+02	3.691e+02	2.945e+01	1.503e+00	5.427e+01
5.600e+03	2.802e+02	2.566e+02	3.691e+02	4.210e+01	8.355e+00	5.764e+01
5.700e+03	2.802e+02	2.566e+02	3.691e+02	4.210e+01	8.355e+00	5.764e+01
5.800e+03	2.802e+02	2.566e+02	3.691e+02	4.210e+01	8.355e+00	5.764e+01
5.900e+03	2.802e+02	2.657e+02	3.691e+02	4.210e+01	8.355e+00	5.764e+01
6.000e+03	2.802e+02	2.657e+02	3.691e+02	4.210e+01	8.355e+00	5.764e+01
6.100e+03	2.802e+02	2.657e+02	3.671e+02	4.210e+01	8.355e+00	5.764e+01
6.200e+03	2.802e+02	2.657e+02	3.671e+02	4.210e+01	8.355e+00	5.764e+01
6.300e+03	2.828e+02	2.657e+02	3.671e+02	2.945e+01	8.355e+00	5.427e+01
6.400e+03	2.828e+02	2.657e+02	3.671e+02	3.977e+01	8.355e+00	5.427e+01
6.500e+03	2.828e+02	2.657e+02	3.671e+02	3.977e+01	8.355e+00	5.764e+01
6.600e+03	2.828e+02	2.657e+02	3.671e+02	5.427e+01	8.355e+00	6.909e+01
6.700e+03	2.828e+02	2.657e+02	3.671e+02	5.427e+01	8.355e+00	6.909e+01
6.800e+03	2.828e+02	2.657e+02	3.671e+02	4.043e+01	8.355e+00	5.764e+01
6.900e+03	2.828e+02	2.657e+02	3.671e+02	4.043e+01	8.355e+00	5.764e+01
7.000e+03	2.828e+02	2.657e+02	3.671e+02	5.427e+01	8.355e+00	6.909e+01
7.100e+03	2.828e+02	2.657e+02	3.671e+02	5.427e+01	8.355e+00	6.909e+01
7.200e+03	2.828e+02	2.657e+02	3.671e+02	5.427e+01	8.355e+00	6.909e+01
7.300e+03	2.828e+02	2.657e+02	3.671e+02	5.427e+01	8.355e+00	6.909e+01
7.400e+03	2.828e+02	2.716e+02	3.671e+02	5.427e+01	1.072e+01	6.909e+01
7.500e+03	2.828e+02	2.716e+02	3.671e+02	5.427e+01	1.072e+01	6.909e+01
7.600e+03	2.828e+02	2.716e+02	3.671e+02	5.427e+01	1.672e+01	6.909e+01
7.700e+03	2.828e+02	2.716e+02	3.671e+02	5.427e+01	2.111e+01	6.909e+01
7.800e+03	2.828e+02	2.716e+02	3.671e+02	5.427e+01	2.111e+01	6.909e+01
7.900e+03	2.828e+02	2.716e+02	3.671e+02	5.427e+01	2.111e+01	6.909e+01
8.000e+03	2.828e+02	2.716e+02	3.671e+02	5.427e+01	2.111e+01	6.909e+01
8.100e+03	2.828e+02	2.716e+02	3.671e+02	5.427e+01	2.111e+01	6.909e+01
8.200e+03	2.828e+02	2.716e+02	3.671e+02	5.681e+01	2.111e+01	7.858e+01
8.300e+03	2.828e+02	2.716e+02	3.671e+02	5.681e+01	2.111e+01	7.858e+01
8.400e+03	3.245e+02	2.802e+02	3.671e+02	5.681e+01	2.111e+01	7.858e+01
8.500e+03	3.331e+02	2.812e+02	3.671e+02	5.681e+01	2.111e+01	7.858e+01
8.600e+03	3.331e+02	2.812e+02	3.671e+02	5.681e+01	2.111e+01	7.858e+01
8.700e+03	3.331e+02	2.812e+02	3.671e+02	5.427e+01	2.111e+01	6.909e+01
8.800e+03	3.499e+02	2.828e+02	3.691e+02	5.427e+01	2.111e+01	6.909e+01
8.900e+03	3.499e+02	2.828e+02	3.691e+02	5.427e+01	2.111e+01	6.909e+01
9.000e+03	3.499e+02	2.828e+02	3.691e+02	5.681e+01	2.111e+01	7.879e+01
9.100e+03	3.499e+02	2.828e+02	3.691e+02	5.681e+01	1.072e+01	7.879e+01
9.200e+03	3.499e+02	2.828e+02	3.691e+02	5.681e+01	1.072e+01	7.879e+01
9.300e+03	3.499e+02	2.828e+02	3.691e+02	5.681e+01	1.072e+01	7.879e+01
9.400e+03	3.499e+02	2.828e+02	3.691e+02	5.681e+01	1.072e+01	7.879e+01
9.500e+03	3.499e+02	2.828e+02	3.691e+02	5.681e+01	1.072e+01	7.879e+01
9.600e+03	3.499e+02	2.828e+02	3.691e+02	6.909e+01	1.072e+01	7.879e+01
9.700e+03	3.499e+02	2.828e+02	3.691e+02	5.681e+01	1.072e+01	7.210e+01
9.800e+03	3.499e+02	2.828e+02	3.691e+02	5.681e+01	1.072e+01	7.210e+01
9.900e+03	3.499e+02	2.828e+02	3.691e+02	5.681e+01	1.072e+01	7.210e+01
1.000e+04	3.499e+02	2.828e+02	3.691e+02	5.681e+01	1.072e+01	7.210e+01
1.010e+04	3.499e+02	2.828e+02	3.691e+02	5.681e+01	1.072e+01	7.210e+01
1.020e+04	3.499e+02	2.828e+02	3.691e+02	5.681e+01	1.072e+01	7.210e+01
1.030e+04	3.499e+02	2.828e+02	3.691e+02	5.681e+01	1.072e+01	7.210e+01
1.040e+04	3.499e+02	2.828e+02	3.691e+02	5.681e+01	1.072e+01	7.210e+01
1.050e+04	3.499e+02	2.828e+02	3.691e+02	5.681e+01	1.072e+01	7.210e+01
1.060e+04	3.499e+02	2.828e+02	3.691e+02	5.681e+01	1.072e+01	7.210e+01
1.070e+04	3.499e+02	2.828e+02	3.691e+02	5.867e+01	1.072e+01	7.210e+01
1.080e+04	3.499e+02	3.193e+02	3.691e+02	6.909e+01	1.072e+01	7.879e+01
1.090e+04	3.499e+02	3.193e+02	3.691e+02	6.909e+01	1.072e+01	7.879e+01
1.100e+04	3.499e+02	3.193e+02	3.691e+02	6.909e+01	1.072e+01	7.879e+01
1.110e+04	3.499e+02	3.193e+02	3.973e+02	6.909e+01	1.072e+01	7.879e+01
1.120e+04	3.499e+02	3.193e+02	3.973e+02	6.909e+01	1.072e+01	7.879e+01
1.130e+04	3.499e+02	3.193e+02	3.973e+02	6.909e+01	1.072e+01	7.879e+01
1.140e+04	3.499e+02	3.193e+02	3.973e+02	6.909e+01	1.122e+01	7.879e+01
1.150e+04	3.499e+02	3.193e+02	3.973e+02	6.909e+01	1.122e+01	7.879e+01
1.160e+04	3.499e+02	3.193e+02	3.973e+02	6.909e+01	1.122e+01	7.879e+01
1.170e+04	3.499e+02	3.193e+02	3.973e+02	5.867e+01	1.122e+01	7.210e+01
1.180e+04	3.499e+02	3.193e+02	3.973e+02	5.867e+01	1.122e+01	7.210e+01
1.190e+04	3.499e+02	3.193e+02	3.973e+02	5.867e+01	1.122e+01	7.210e+01
1.200e+04	3.499e+02	3.193e+02	3.973e+02	6.909e+01	1.122e+01	7.879e+01
1.210e+04	3.671e+02	3.193e+02	3.973e+02	6.909e+01	1.122e+01	7.879e+01
1.220e+04	3.671e+02	3.193e+02	3.973e+02	6.909e+01	1.122e+01	7.879e+01
1.230e+04	3.671e+02	3.193e+02	3.973e+02	6.909e+01	1.122e+01	7.879e+01
1.240e+04	3.671e+02	3.193e+02	3.973e+02	6.909e+01	1.122e+01	7.879e+01
1.250e+04	3.930e+02	3.245e+02	4.143e+02	6.909e+01	1.122e+01	7.879e+01
1.260e+04	3.930e+02	3.245e+02	4.143e+02	6.909e+01	1.122e+01	7.879e+01
1.270e+04	3.930e+02	3.245e+02	4.143e+02	6.909e+01	1.122e+01	7.879e+01
1.280e+04	3.930e+02	3.245e+02	4.143e+02	6.909e+01	1.122e+01	7.879e+01
1.290e+04	3.930e+02	3.245e+02	4.143e+02	6.909e+01	1.122e+01	7.879e+01
1.300e+04	3.930e+02	3.245e+02	4.143e+02	6.909e+01	1.122e+01	7.879e+01
1.310e+04	3.930e+02	3.245e+02	4.143e+02	6.909e+01	1.122e+01	7.879e+01
1.320e+04	3.930e+02	3.245e+02	4.143e+02	6.909e+01	1.122e+01	7.879e+01
1.330e+04	3.930e+02	3.245e+02	4.143e+02	6.909e+01	1.122e+01	7.879e+01
1.340e+04	3.930e+02	3.245e+02	4.143e+02	6.909e+01	1.122e+01	7.879e+01
1.350e+04	3.930e+02	3.245e+02	4.143e+02	6.909e+01	1.122e+01	7.879e+01
1.360e+04	3.930e+02	3.245e+02	4.143e+02	6.909e+01	1.122e+01	7.889e+01
1.370e+04	3.930e+02	3.245e+02	4.143e+02	6.909e+01	1.122e+01	7.889e+01
1.380e+04	3.930e+02	3.245e+02	4.143e+02	6.909e+01	1.122e+01	7.889e+01
1.390e+04	3.930e+02	3.245e+02	4.143e+02	6.909e+01	1.122e+01	7.889e+01
1.400e+04	3.940e+02	3.331e+02	4.143e+02	7.210e+01	1.122e+01	7.889e+01
1.410e+04	3.940e+02	3.331e+02	4.143e+02	7.210e+01	1.122e+01	7.889e+01
1.420e+04	3.973e+02	3.331e+02	4.194e+02	7.210e+01	1.122e+01	7.889e+01
1.430e+04	3.973e+02	3.331e+02	4.194e+02	7.210e+01	1.122e+01	7.889e+01
1.440e+04	3.973e+02	3.331e+02	4.194e+02	7.210e+01	1.122e+01	7.889e+01
1.450e+04	3.973e+02	3.331e+02	4.194e+02	7.210e+01	1.122e+01	7.889e+01
1.460e+04	3.973e+02	3.331e+02	4.272e+02	7.210e+01	1.122e+01	7.889e+01
1.470e+04	3.973e+02	3.331e+02	4.272e+02	7.210e+01	1.122e+01	7.889e+01
1.480e+04	3.973e+02	3.331e+02	4.272e+02	7.210e+01	1.122e+01	7.889e+01
1.490e+04	3.973e+02	3.331e+02	4.272e+02	7.210e+01	1.122e+01	7.889e+01
1.500e+04	3.973e+02	3.331e+02	4.272e+02	7.433e+01	1.122e+01	8.008e+01
1.510e+04	3.973e+02	3.395e+02	4.272e+02	7.433e+01	1.122e+01	8.008e+01
1.520e+04	3.973e+02	3.395e+02	4.272e+02	7.433e+01	1.122e+01	8.008e+01
1.530e+04	3.973e+02	3.395e+02	4.272e+02	7.433e+01	1.122e+01	8.008e+01
1.540e+04	3.973e+02	3.395e+02	4.272e+02	7.433e+01	1.122e+01	8.008e+01
1.550e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.560e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.570e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.580e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.590e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.600e+04	4.143e+02	3.395e+02	4.361e+02	7.433e+01	1.122e+01	8.008e+01
1.610e+04	4.143e+02	3.395e+02	4.361e+02	5.685e+01	1.122e+01	7.889e+01
1.620e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.630e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.640e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.650e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.660e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.670e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.680e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.690e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.700e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.710e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.720e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.730e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.740e+04	4.143e+02	3.395e+02	4.582e+02	7.433e+01	1.122e+01	8.008e+01
1.750e+04	4.143e+02	3.395e+02	4.595e+02	7.433e+01	1.122e+01	8.008e+01
1.760e+04	4.143e+02	3.395e+02	4.595e+02	7.433e+01	1.122e+01	8.008e+01
1.770e+04	4.143e+02	3.395e+02	4.595e+02	7.433e+01	1.122e+01	8.008e+01
1.780e+04	4.143e+02	3.395e+02	4.595e+02	7.433e+01	1.122e+01	8.008e+01
1.790e+04	4.143e+02	3.395e+02	4.595e+02	7.433e+01	1.122e+01	8.008e+01
1.800e+04	4.143e+02	3.395e+02	4.595e+02	7.433e+01	1.122e+01	8.008e+01
1.810e+04	4.143e+02	3.395e+02	4.595e+02	7.433e+01	1.122e+01	8.008e+01
1.820e+04	4.143e+02	3.395e+02	4.595e+02	7.433e+01	1.122e+01	8.008e+01
1.830e+04	4.143e+02	3.395e+02	4.595e+02	7.433e+01	1.122e+01	8.008e+01
1.840e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
1.850e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
1.860e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
1.870e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
1.880e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
1.890e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
1.900e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
1.910e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
1.920e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
1.930e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
1.940e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
1.950e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
1.960e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
1.970e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
1.980e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
1.990e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.000e+04	3.930e+02	3.248e+02	4.582e+02	5.685e+01	1.130e+01	7.889e+01
2.010e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.020e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.030e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.040e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.050e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.060e+04	3.930e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.070e+04	4.007e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.080e+04	4.007e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.090e+04	4.007e+02	3.395e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.100e+04	4.007e+02	3.395e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.110e+04	4.066e+02	3.779e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.120e+04	4.066e+02	3.779e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.130e+04	4.066e+02	3.779e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.140e+04	4.066e+02	3.779e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.150e+04	4.066e+02	3.779e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.160e+04	4.066e+02	3.779e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.170e+04	4.066e+02	3.779e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.180e+04	4.066e+02	3.779e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.190e+04	4.066e+02	3.779e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.200e+04	4.066e+02	3.779e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.210e+04	4.066e+02	3.779e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.220e+04	4.066e+02	3.779e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.230e+04	4.066e+02	3.779e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.240e+04	4.066e+02	3.779e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.250e+04	4.066e+02	3.779e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.260e+04	4.066e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.270e+04	4.066e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.280e+04	4.066e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.290e+04	4.066e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.300e+04	4.066e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.310e+04	4.066e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.320e+04	4.066e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.330e+04	4.066e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.340e+04	4.066e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.350e+04	4.066e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.360e+04	4.066e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.370e+04	4.066e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.380e+04	4.066e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.390e+04	4.066e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.400e+04	4.066e+02	3.248e+02	4.582e+02	7.433e+01	1.130e+01	8.008e+01
2.410e+04	4.066e+02	3.248e+02	4.709e+02	6.863e+01	1.130e+01	7.941e+01
2.420e+04	4.066e+02	3.248e+02	4.709e+02	6.863e+01	1.130e+01	8.008e+01
2.430e+04	4.066e+02	3.248e+02	4.709e+02	7.941e+01	1.130e+01	8.079e+01
2.440e+04	4.066e+02	3.248e+02	4.709e+02	7.941e+01	1.130e+01	8.079e+01
2.450e+04	4.482e+02	3.779e+02	4.709e+02	7.941e+01	1.130e+01	8.079e+01
2.460e+04	4.482e+02	3.779e+02	4.709e+02	7.941e+01	1.130e+01	8.079e+01
